layer,kl_mean,kl_std,method,model
26,19.702085,0.59383136,int4,google_gemma-3-4b-it
27,19.738853,0.5984506,int4,google_gemma-3-4b-it
28,19.758802,0.5979078,int4,google_gemma-3-4b-it
29,19.804752,0.59747005,int4,google_gemma-3-4b-it
30,19.857365,0.5920243,int4,google_gemma-3-4b-it
31,19.927591,0.5874694,int4,google_gemma-3-4b-it
32,19.969732,0.5845306,int4,google_gemma-3-4b-it
33,20.007242,0.56917536,int4,google_gemma-3-4b-it
0,18.231688,5.051787,float16,google_gemma-3-4b-it
1,18.579643,3.5372162,float16,google_gemma-3-4b-it
2,18.804731,3.2716196,float16,google_gemma-3-4b-it
